im_name,gil_format_name,fold,id,None score
HE_A12_v3_b3_014.jpg,HE_A12_v3_b3_14,4,15,1
HE_A12_v3_b3_094.jpg,HE_A12_v3_b3_94,3,95,1
HE_A12_v3_b3_146.jpg,HE_A12_v3_b3_146,3,147,1
HE_A12_v3_s1_083.jpg,HE_A12_v3_s1_084_r7c12,1,84,2
HE_A12_v3_s1_132.jpg,HE_A12_v3_s1_133_r12c12,2,133,3
HE_A12_v3_s1_152.jpg,HE_A12_v3_s1_153_r13c9,4,153,1
HE_A34_v3_s1_001.jpg,HE_A34_v3_s1_002_r1c2,2,170,1
HE_A34_v3_s1_015.jpg,HE_A34_v3_s1_016_r2c9,5,184,1
HE_A34_v3_s1_017.jpg,HE_A34_v3_s1_018_r2c7,3,186,1
HE_A34_v3_s1_022.jpg,HE_A34_v3_s1_023_r2c2,4,191,3
HE_A34_v3_s1_055.jpg,HE_A34_v3_s1_056_r5c8,6,224,2
HE_A3_v3_b3_042.jpg,HE_A3_v3_b3_42,3,211,3
HE_B12_v3_b3_001.jpg,HE_B12_v3_b3_1,5,230,1
HE_B12_v3_s1_005.jpg,HE_B12_v3_s1_006_r1c6,2,234,1
HE_B12_v3_s1_007.jpg,HE_B12_v3_s1_008_r1c8,3,236,1
HE_B12_v3_s1_015.jpg,HE_B12_v3_s1_016_r2c9,4,244,1
HE_B12_v3_s1_018.jpg,HE_B12_v3_s1_019_r2c6,6,247,1
HE_B12_v3_s1_026.jpg,HE_B12_v3_s1_027_r3c3,5,255,1
HE_B12_v3_s1_029.jpg,HE_B12_v3_s1_030_r3c6,5,258,2
HE_B12_v3_s1_040.jpg,HE_B12_v3_s1_041_r4c8,4,269,2
HE_B12_v3_s1_044.jpg,HE_B12_v3_s1_045_r4c4,5,273,2
HE_B12_v3_s1_048.jpg,HE_B12_v3_s1_049_r5c1,1,277,1
HE_B12_v3_s1_059.jpg,HE_B12_v3_s1_060_r5c12,4,288,1
HE_B12_v3_s1_073.jpg,HE_B12_v3_s1_074_r7c2,1,302,1
HE_B12_v3_s1_076.jpg,HE_B12_v3_s1_077_r7c5,1,305,2
HE_B12_v3_s1_080.jpg,HE_B12_v3_s1_081_r7c9,5,309,2
HE_B12_v3_s1_088.jpg,HE_B12_v3_s1_089_r8c8,5,317,1
HE_B12_v3_s1_095.jpg,HE_B12_v3_s1_096_r8c1,1,324,1
HE_B12_v3_s1_100.jpg,HE_B12_v3_s1_101_r9c5,4,329,2
HE_B12_v3_s1_119.jpg,HE_B12_v3_s1_120_r10c1,4,348,1
HE_B12_v3_s1_137.jpg,HE_B12_v3_s1_138_r12c7,2,366,1
HE_B12_v3_s1_143.jpg,HE_B12_v3_s1_144_r12c1,3,372,2
HE_B12_v3_s1_148.jpg,HE_B12_v3_s1_149_r13c5,2,377,1
HE_B12_v3_s1_164.jpg,HE_B12_v3_s1_165_r14c4,1,393,1
HE_B12_v3_s1_167.jpg,HE_B12_v3_s1_168_r14c1,4,396,1
HE_B34_v3_s1_011.jpg,HE_B34_v3_s1_012_r1c12,1,408,1
HE_B34_v3_s1_035.jpg,HE_B34_v3_s1_036_r3c12,6,432,2
HE_B34_v3_s1_039.jpg,HE_B34_v3_s1_040_r4c9,4,436,1
HE_B3_v3_b3_014.jpg,HE_B3_v3_b3_14,3,411,1
HE_B3_v3_b3_039.jpg,HE_B3_v3_b3_39,4,436,1
HE_C12_v3_b3_015.jpg,HE_C12_v3_b3_15,4,472,1
HE_C12_v3_b3_043.jpg,HE_C12_v3_b3_43,6,500,1
HE_C12_v3_b3_051.jpg,HE_C12_v3_b3_51,3,508,1
HE_C12_v3_b3_071.jpg,HE_C12_v3_b3_71,1,528,3
HE_C12_v3_b3_159.jpg,HE_C12_v3_b3_159,3,616,3
HE_C12_v3_s1_003.jpg,HE_C12_v3_s1_004_r1c4,3,460,3
HE_C12_v3_s1_007.jpg,HE_C12_v3_s1_008_r1c8,5,464,1
HE_C12_v3_s1_023.jpg,HE_C12_v3_s1_024_r2c1,5,480,1
HE_C12_v3_s1_032.jpg,HE_C12_v3_s1_033_r3c9,1,489,1
HE_C12_v3_s1_034.jpg,HE_C12_v3_s1_035_r3c11,1,491,2
HE_C12_v3_s1_041.jpg,HE_C12_v3_s1_042_r4c7,5,498,1
HE_C12_v3_s1_043.jpg,HE_C12_v3_s1_044_r4c5,6,500,1
HE_C12_v3_s1_046.jpg,HE_C12_v3_s1_047_r4c2,2,503,1
HE_C12_v3_s1_071.jpg,HE_C12_v3_s1_072_r6c1,1,528,1
HE_C12_v3_s1_083.jpg,HE_C12_v3_s1_084_r7c12,5,540,1
HE_C12_v3_s1_091.jpg,HE_C12_v3_s1_092_r8c5,1,548,1
HE_C12_v3_s1_101.jpg,HE_C12_v3_s1_102_r9c6,4,558,1
HE_C12_v3_s1_113.jpg,HE_C12_v3_s1_114_r10c7,6,570,1
HE_C12_v3_s1_122.jpg,HE_C12_v3_s1_123_r11c3,3,579,1
HE_C12_v3_s1_131.jpg,HE_C12_v3_s1_132_r11c12,1,588,2
HE_C12_v3_s1_147.jpg,HE_C12_v3_s1_148_r13c4,2,604,2
HE_C12_v3_s1_155.jpg,HE_C12_v3_s1_156_r13c12,1,612,3
HE_C12_v3_s1_158.jpg,HE_C12_v3_s1_159_r14c10,3,615,1
HE_C12_v3_s1_159.jpg,HE_C12_v3_s1_160_r14c9,3,616,2
HE_C12_v3_s1_167.jpg,HE_C12_v3_s1_168_r14c1,3,624,2
HE_C34_v3_b3_100.jpg,HE_C34_v3_b3_100,3,725,1
HE_C34_v3_b3_118.jpg,HE_C34_v3_b3_118,3,743,1
HE_C34_v3_s1_009.jpg,HE_C34_v3_s1_010_r1c10,3,634,1
HE_C34_v3_s1_011.jpg,HE_C34_v3_s1_012_r1c12,2,636,2
HE_C34_v3_s1_023.jpg,HE_C34_v3_s1_024_r2c1,2,648,1
HE_C34_v3_s1_035.jpg,HE_C34_v3_s1_036_r3c12,5,660,2
HE_C34_v3_s1_071.jpg,HE_C34_v3_s1_072_r6c1,3,696,1
HE_C34_v3_s1_077.jpg,HE_C34_v3_s1_078_r7c6,3,702,2
HE_C34_v3_s1_132.jpg,HE_C34_v3_s1_133_r12c12,3,757,3
HE_D12_v3_b3_006.jpg,HE_D12_v3_b3_6,5,775,1
HE_D12_v3_b3_016.jpg,HE_D12_v3_b3_16,2,785,1
HE_D12_v3_b3_025.jpg,HE_D12_v3_b3_25,4,794,1
HE_D12_v3_b3_026.jpg,HE_D12_v3_b3_26,3,795,1
HE_D12_v3_b3_027.jpg,HE_D12_v3_b3_27,2,796,1
HE_D12_v3_b3_037.jpg,HE_D12_v3_b3_37,3,806,1
HE_D12_v3_b3_040.jpg,HE_D12_v3_b3_40,6,809,1
HE_D12_v3_b3_046.jpg,HE_D12_v3_b3_46,1,815,1
HE_D12_v3_b3_048.jpg,HE_D12_v3_b3_48,3,817,1
HE_D12_v3_b3_067.jpg,HE_D12_v3_b3_67,3,836,1
HE_D12_v3_b3_074.jpg,HE_D12_v3_b3_74,5,843,3
HE_D12_v3_b3_078.jpg,HE_D12_v3_b3_78,2,847,1
HE_D12_v3_b3_079.jpg,HE_D12_v3_b3_79,6,848,1
HE_D12_v3_b3_093.jpg,HE_D12_v3_b3_93,2,862,2
HE_D12_v3_b3_099.jpg,HE_D12_v3_b3_99,1,868,1
HE_D12_v3_b3_100.jpg,HE_D12_v3_b3_100,2,869,1
HE_D12_v3_b3_103.jpg,HE_D12_v3_b3_103,4,872,3
HE_D12_v3_b3_106.jpg,HE_D12_v3_b3_106,4,875,2
HE_D12_v3_b3_108.jpg,HE_D12_v3_b3_108,5,877,2
HE_D12_v3_b3_113.jpg,HE_D12_v3_b3_113,2,882,1
HE_D12_v3_b3_115.jpg,HE_D12_v3_b3_115,6,884,3
HE_D12_v3_b3_119.jpg,HE_D12_v3_b3_119,4,888,3
HE_D12_v3_b3_129.jpg,HE_D12_v3_b3_129,1,898,1
HE_D12_v3_b3_138.jpg,HE_D12_v3_b3_138,5,907,1
HE_D12_v3_b3_143.jpg,HE_D12_v3_b3_143,3,912,3
HE_D12_v3_s1_011.jpg,HE_D12_v3_s1_012_r1c12,3,780,1
HE_D12_v3_s1_023.jpg,HE_D12_v3_s1_024_r2c1,5,792,1
HE_D12_v3_s1_041.jpg,HE_D12_v3_s1_042_r4c7,3,810,1
HE_D12_v3_s1_047.jpg,HE_D12_v3_s1_048_r4c1,3,816,1
HE_D12_v3_s1_078.jpg,HE_D12_v3_s1_079_r7c7,2,847,1
HE_D12_v3_s1_081.jpg,HE_D12_v3_s1_082_r7c10,4,850,1
HE_D12_v3_s1_087.jpg,HE_D12_v3_s1_088_r8c9,5,856,1
HE_D12_v3_s1_091.jpg,HE_D12_v3_s1_092_r8c5,4,860,1
HE_D12_v3_s1_093.jpg,HE_D12_v3_s1_094_r8c3,2,862,3
HE_D12_v3_s1_109.jpg,HE_D12_v3_s1_110_r10c11,6,878,1
HE_D12_v3_s1_113.jpg,HE_D12_v3_s1_114_r10c7,2,882,1
HE_D12_v3_s1_116.jpg,HE_D12_v3_s1_117_r10c4,4,885,3
HE_D12_v3_s1_119.jpg,HE_D12_v3_s1_120_r10c1,4,888,1
HE_D12_v3_s1_126.jpg,HE_D12_v3_s1_127_r11c7,1,895,1
HE_D12_v3_s1_127.jpg,HE_D12_v3_s1_128_r11c8,4,896,2
HE_D12_v3_s1_136.jpg,HE_D12_v3_s1_137_r12c8,1,905,1
HE_D12_v3_s1_139.jpg,HE_D12_v3_s1_140_r12c5,6,908,1
HE_D12_v3_s1_147.jpg,HE_D12_v3_s1_148_r13c4,5,916,2
HE_D12_v3_s1_161.jpg,HE_D12_v3_s1_162_r14c7,6,930,1
HE_D12_v3_s1_165.jpg,HE_D12_v3_s1_166_r14c3,5,934,1
HE_D12_v3_s1_167.jpg,HE_D12_v3_s1_168_r14c1,6,936,2
HE_D34_v3_b3_007.jpg,HE_D34_v3_b3_7,1,944,1
HE_D34_v3_b3_013.jpg,HE_D34_v3_b3_13,2,950,1
HE_D34_v3_b3_016.jpg,HE_D34_v3_b3_16,1,953,1
HE_D34_v3_b3_021.jpg,HE_D34_v3_b3_21,5,958,1
HE_D34_v3_b3_023.jpg,HE_D34_v3_b3_23,2,960,1
HE_D34_v3_b3_025.jpg,HE_D34_v3_b3_25,6,962,1
HE_D34_v3_b3_026.jpg,HE_D34_v3_b3_26,3,963,1
HE_D34_v3_b3_029.jpg,HE_D34_v3_b3_29,6,966,1
HE_D34_v3_b3_034.jpg,HE_D34_v3_b3_34,2,971,1
HE_D34_v3_b3_038.jpg,HE_D34_v3_b3_38,2,975,1
HE_D34_v3_b3_042.jpg,HE_D34_v3_b3_42,2,979,1
HE_D34_v3_b3_051.jpg,HE_D34_v3_b3_51,3,988,2
